period,ratio
2016-01-01,0.01776
2016-01-02,0.02283
2016-01-03,0.04313
2016-01-04,0.06597
2016-01-05,0.06597
2016-01-06,0.09642
2016-01-07,0.09895
2016-01-08,0.09895
2016-01-09,0.02029
2016-01-10,0.02029
2016-01-11,0.06343
2016-01-12,0.08627
2016-01-13,0.05074
2016-01-14,0.04821
2016-01-15,0.06343
2016-01-16,0.03044
2016-01-18,0.05836
2016-01-19,0.07104
2016-01-20,0.05836
2016-01-21,0.05582
2016-01-22,0.07866
2016-01-23,0.03806
2016-01-24,0.02537
2016-01-25,0.06343
2016-01-26,0.06089
2016-01-27,0.02791
2016-01-28,0.07612
2016-01-29,0.05074
2016-01-30,0.04059
2016-01-31,0.05328
2016-02-01,0.05328
2016-02-02,0.04313
2016-02-03,0.04313
2016-02-04,0.05836
2016-02-05,0.04567
2016-02-06,0.03552
2016-02-07,0.01522
2016-02-09,0.04567
2016-02-10,0.01776
2016-02-11,0.08373
2016-02-12,0.04313
2016-02-13,0.04059
2016-02-15,0.05328
2016-02-16,0.05074
2016-02-17,0.06851
2016-02-18,0.08119
2016-02-19,0.04567
2016-02-20,0.01776
2016-02-21,0.01776
2016-02-22,0.07612
2016-02-23,0.07612
2016-02-24,0.10149
2016-02-25,0.04821
2016-02-26,0.07104
2016-02-27,0.02029
2016-02-28,0.02537
2016-02-29,0.05582
2016-03-01,0.02283
2016-03-02,0.06597
2016-03-03,0.10149
2016-03-04,0.08627
2016-03-05,0.02283
2016-03-06,0.01522
2016-03-07,0.08119
2016-03-08,0.08627
2016-03-09,0.06343
2016-03-10,0.08373
2016-03-11,0.06343
2016-03-12,0.04821
2016-03-13,0.02283
2016-03-14,0.07866
2016-03-15,0.07612
2016-03-16,0.05836
2016-03-17,0.06851
2016-03-18,0.06597
2016-03-20,0.03298
2016-03-21,0.06597
2016-03-22,0.07104
2016-03-23,0.10149
2016-03-24,0.08119
2016-03-25,0.04313
2016-03-26,0.01268
2016-03-27,0.02537
2016-03-28,0.06597
2016-03-29,0.04313
2016-03-30,0.06089
2016-03-31,0.08627
2016-04-01,0.05328
2016-04-02,0.03806
2016-04-03,0.04313
2016-04-04,0.06089
2016-04-05,0.06597
2016-04-06,0.15478
2016-04-07,0.07866
2016-04-08,0.05582
2016-04-09,0.04567
2016-04-11,0.07866
2016-04-12,0.07866
2016-04-13,0.04313
2016-04-14,0.07358
2016-04-15,0.06089
2016-04-16,0.04313
2016-04-17,0.02283
2016-04-18,0.10657
2016-04-19,0.06851
2016-04-20,0.06597
2016-04-21,0.06597
2016-04-22,0.07358
2016-04-23,0.03806
2016-04-24,0.01522
2016-04-25,0.07866
2016-04-26,0.08119
2016-04-27,0.03806
2016-04-28,0.05836
2016-04-29,0.07612
2016-05-01,0.04059
2016-05-02,0.08119
2016-05-03,0.08627
2016-05-04,0.06089
2016-05-05,0.06343
2016-05-06,0.11164
2016-05-07,0.05836
2016-05-08,0.04313
2016-05-09,0.08373
2016-05-10,0.08627
2016-05-11,0.09388
2016-05-12,0.07358
2016-05-13,0.07866
2016-05-14,0.04821
2016-05-15,0.03806
2016-05-16,0.06343
2016-05-17,0.05836
2016-05-18,0.09388
2016-05-19,0.05328
2016-05-20,0.09642
2016-05-21,0.01522
2016-05-22,0.01268
2016-05-23,0.09388
2016-05-24,0.1091
2016-05-25,0.11925
2016-05-26,0.07866
2016-05-27,0.04313
2016-05-28,0.03298
2016-05-30,0.06089
2016-05-31,0.05328
2016-06-01,0.08373
2016-06-02,0.06597
2016-06-03,0.03298
2016-06-04,0.01268
2016-06-05,0.02283
2016-06-06,0.04567
2016-06-07,0.08627
2016-06-08,0.07612
2016-06-09,0.10403
2016-06-10,0.07358
2016-06-11,0.03298
2016-06-12,0.02283
2016-06-13,0.07612
2016-06-14,0.14717
2016-06-15,0.04567
2016-06-16,0.10657
2016-06-17,0.06343
2016-06-18,0.01268
2016-06-20,0.08119
2016-06-21,0.04567
2016-06-22,0.07358
2016-06-23,0.04567
2016-06-24,0.06343
2016-06-25,0.02537
2016-06-26,0.01268
2016-06-27,0.08119
2016-06-28,0.09134
2016-06-29,0.05836
2016-06-30,0.05328
2016-07-01,0.04821
2016-07-02,0.01776
2016-07-03,0.03298
2016-07-04,0.0888
2016-07-05,0.07104
2016-07-06,0.07866
2016-07-07,0.05836
2016-07-08,0.06343
2016-07-10,0.01268
2016-07-11,0.05582
2016-07-12,0.06343
2016-07-13,0.06089
2016-07-14,0.04313
2016-07-15,0.07358
2016-07-16,0.01268
2016-07-17,0.04313
2016-07-18,0.09895
2016-07-19,0.06089
2016-07-20,0.04313
2016-07-21,0.06851
2016-07-22,0.05328
2016-07-23,0.04059
2016-07-25,0.05582
2016-07-26,0.08119
2016-07-27,0.07866
2016-07-28,0.10657
2016-07-29,0.05074
2016-07-31,0.02791
2016-08-01,0.04313
2016-08-02,0.05074
2016-08-03,0.04821
2016-08-04,0.02791
2016-08-05,0.06089
2016-08-06,0.02537
2016-08-07,0.01776
2016-08-08,0.07104
2016-08-09,0.03298
2016-08-10,0.05836
2016-08-11,0.06851
2016-08-12,0.05582
2016-08-13,0.02029
2016-08-14,0.02029
2016-08-15,0.02029
2016-08-16,0.05582
2016-08-17,0.06343
2016-08-18,0.05328
2016-08-19,0.08119
2016-08-21,0.01268
2016-08-22,0.04821
2016-08-23,0.07104
2016-08-24,0.04313
2016-08-25,0.04059
2016-08-26,0.07612
2016-08-27,0.03298
2016-08-29,0.05328
2016-08-30,0.11164
2016-08-31,0.06851
2016-09-01,0.05582
2016-09-02,0.05836
2016-09-03,0.02791
2016-09-05,0.06851
